letter;black weight;normal black weight;weight center x;weight center y;normal weight center x;normal weight center y;inert axis x;inert axis y;normal inert axis x;normal inert axis y
A;2147.298;0.859;24.813;24.011;0.486;0.470;497857.624;491966.752;99.572;98.393
B;2056.129;0.822;25.205;24.046;0.494;0.470;494849.553;468709.987;98.970;93.742
C;2195.157;0.878;24.902;24.421;0.488;0.478;502903.553;477093.747;100.581;95.419
D;2079.212;0.832;25.236;24.112;0.495;0.472;487029.563;468205.841;97.406;93.641
E;2136.361;0.855;25.077;24.346;0.491;0.476;504507.947;470891.462;100.902;94.178
F;2199.655;0.880;25.443;24.405;0.499;0.478;507816.066;477343.168;101.563;95.469
G;2110.776;0.844;24.844;24.048;0.487;0.470;490633.273;475853.237;98.127;95.171
H;2113.600;0.845;25.127;24.008;0.492;0.470;486443.638;485134.038;97.289;97.027
I;2193.694;0.877;24.989;23.011;0.490;0.449;472983.323;471643.367;94.597;94.329
J;2246.278;0.899;24.896;23.089;0.488;0.451;470272.535;482795.771;94.055;96.559
K;2151.396;0.861;25.005;24.434;0.490;0.478;502745.693;485223.946;100.549;97.045
L;2264.690;0.906;24.414;24.656;0.478;0.483;511608.042;495034.254;102.322;99.007
M;2060.812;0.824;25.591;23.890;0.502;0.467;478285.581;473297.715;95.657;94.660
N;2076.976;0.831;25.219;23.953;0.494;0.468;487168.679;480694.305;97.434;96.139
O;2098.565;0.839;25.073;23.991;0.491;0.469;485206.587;474947.712;97.041;94.990
P;2147.820;0.859;25.632;24.163;0.503;0.473;499281.121;473729.606;99.856;94.746
Q;2048.082;0.819;24.676;23.689;0.483;0.463;476955.686;461279.356;95.391;92.256
R;2088.141;0.835;25.362;24.150;0.497;0.472;497541.810;472277.711;99.508;94.456
S;2164.686;0.866;24.893;24.038;0.488;0.470;501700.110;478524.994;100.340;95.705
T;2233.710;0.893;25.567;24.181;0.501;0.473;509102.787;468414.016;101.821;93.683
U;2157.569;0.863;24.833;24.133;0.486;0.472;492980.491;484351.538;98.596;96.870
V;2188.169;0.875;25.080;24.195;0.491;0.473;500656.157;488644.941;100.131;97.729
W;2059.784;0.824;24.965;25.499;0.489;0.500;475302.718;484565.474;95.061;96.913
X;2162.706;0.865;25.036;24.067;0.491;0.471;499055.288;483730.825;99.811;96.746
Y;2238.486;0.895;25.241;24.203;0.495;0.474;507513.784;487717.455;101.503;97.543
Z;2153.600;0.861;25.023;24.054;0.490;0.470;500985.913;465747.378;100.197;93.149
