letter;black weight;normal black weight;weight center x;weight center y;normal weight center x;normal weight center y;inert axis x;inert axis y;normal inert axis x;normal inert axis y
A;2177.482;0.871;24.651;24.179;0.483;0.473;502588.692;495347.495;100.518;99.069
B;2098.400;0.839;24.946;24.324;0.489;0.476;502565.939;477940.360;100.513;95.588
C;2232.243;0.893;24.777;24.585;0.485;0.481;507791.943;485533.321;101.558;97.107
D;2118.996;0.848;24.959;24.032;0.489;0.470;490306.265;475390.662;98.061;95.078
E;2201.027;0.880;24.845;24.756;0.487;0.485;511229.475;482513.132;102.246;96.503
F;2257.918;0.903;25.106;24.822;0.492;0.486;512555.758;490863.972;102.511;98.173
G;2128.984;0.852;24.801;23.961;0.486;0.469;490427.577;480863.895;98.086;96.173
H;2155.231;0.862;24.913;23.991;0.488;0.469;488489.632;492435.916;97.698;98.487
I;2357.200;0.943;24.651;24.406;0.483;0.478;520019.026;506939.127;104.004;101.388
J;2333.584;0.933;24.541;24.220;0.480;0.474;516615.462;503956.177;103.323;100.791
K;2190.557;0.876;24.840;24.584;0.487;0.481;508578.990;490853.038;101.716;98.171
L;2307.157;0.923;24.394;24.856;0.477;0.487;513307.953;499694.418;102.662;99.939
M;2031.204;0.812;25.118;22.972;0.492;0.448;434510.109;477274.962;86.902;95.455
N;2091.690;0.837;25.017;23.753;0.490;0.464;481256.223;483207.835;96.251;96.642
O;2118.729;0.847;24.950;23.747;0.489;0.464;478791.688;477867.760;95.758;95.574
P;2203.541;0.881;25.300;24.618;0.496;0.482;508606.393;486254.977;101.721;97.251
Q;2076.741;0.831;24.666;23.372;0.483;0.457;463643.661;469814.360;92.729;93.963
R;2139.157;0.856;25.122;24.386;0.492;0.477;504220.849;482382.240;100.844;96.476
S;2225.710;0.890;24.758;24.628;0.485;0.482;512061.366;488968.910;102.412;97.794
T;2276.494;0.911;25.256;24.533;0.495;0.480;515606.090;482332.886;103.121;96.467
U;2181.373;0.873;24.666;23.971;0.483;0.469;488853.525;489729.294;97.771;97.946
V;2219.820;0.888;24.899;24.299;0.488;0.475;504862.390;493448.601;100.972;98.690
W;1980.439;0.792;25.211;23.718;0.494;0.464;442410.473;472318.692;88.482;94.464
X;2195.616;0.878;24.843;24.432;0.487;0.478;508532.015;489908.179;101.706;97.982
Y;2270.812;0.908;25.043;24.539;0.491;0.480;514086.370;494978.756;102.817;98.996
Z;2211.290;0.885;24.798;24.606;0.486;0.482;511338.630;477280.233;102.268;95.456
