iter	MultiClass
0	3.250063976
1	3.24193388
2	3.234381554
3	3.226211588
4	3.219259242
5	3.21190683
6	3.204025844
7	3.196088138
8	3.188544717
9	3.180668716
10	3.172635207
11	3.165500261
12	3.157169987
13	3.148698657
14	3.143065554
15	3.136056647
16	3.130605785
17	3.123823286
18	3.115695519
19	3.107813965
20	3.100818279
21	3.092924349
22	3.084864255
23	3.078322843
24	3.071400256
25	3.063489021
26	3.055935696
27	3.047723855
28	3.03991678
29	3.032121897
30	3.024762303
31	3.017413454
32	3.009501329
33	3.001658811
34	2.993558769
35	2.985750731
36	2.97756784
37	2.970692802
38	2.962655994
39	2.954806513
40	2.947158056
41	2.939452068
42	2.931624319
43	2.923732267
44	2.916743221
45	2.909358425
46	2.902020045
47	2.894702112
48	2.88755762
49	2.880603058
50	2.87267516
51	2.865520618
52	2.857352075
53	2.849642759
54	2.842285604
55	2.835213017
56	2.827982462
57	2.820374703
58	2.815140784
59	2.807885698
60	2.801093066
61	2.794347354
62	2.787395057
63	2.77982956
64	2.771914801
65	2.764325073
66	2.757157656
67	2.749983069
68	2.742663232
69	2.735646057
70	2.72872522
71	2.721641094
72	2.713945813
73	2.706708731
74	2.699849157
75	2.692249911
76	2.685339071
77	2.678105269
78	2.670671114
79	2.664229742
80	2.657716505
81	2.651094055
82	2.643860721
83	2.637987326
84	2.630719951
85	2.62381739
86	2.616467783
87	2.609298916
88	2.602077947
89	2.59532381
90	2.590303054
91	2.583372386
92	2.576820216
93	2.569704564
94	2.562523914
95	2.555761555
96	2.548579639
97	2.541500832
98	2.533840605
99	2.526457573
100	2.520141111
101	2.512709168
102	2.506579032
103	2.499999875
104	2.493547539
105	2.48661516
106	2.479624951
107	2.472503638
108	2.46582632
109	2.459056388
110	2.453451024
111	2.447593436
112	2.440491456
113	2.433179813
114	2.426152005
115	2.419086697
116	2.412306803
117	2.405326187
118	2.39890548
119	2.3922481
120	2.38585549
121	2.379299297
122	2.372815757
123	2.366503415
124	2.359408353
125	2.352275374
126	2.345161519
127	2.338554752
128	2.332020796
129	2.324663911
130	2.31843166
131	2.311481371
132	2.304861764
133	2.298583603
134	2.292291051
135	2.286303145
136	2.28008356
137	2.273019249
138	2.266229848
139	2.260007341
140	2.253359186
141	2.246403496
142	2.239758077
143	2.23310102
144	2.226273246
145	2.21991663
146	2.213124415
147	2.207173954
148	2.200521395
149	2.193718507
150	2.187219742
151	2.180820369
152	2.174172611
153	2.167452394
154	2.161022602
155	2.154785652
156	2.148735215
157	2.142362569
158	2.136984606
159	2.130570179
160	2.124698239
161	2.118778126
162	2.112352415
163	2.105868852
164	2.100368139
165	2.093860472
166	2.088110166
167	2.081406911
168	2.074893873
169	2.068718182
170	2.062397347
171	2.056404487
172	2.0505663
173	2.044627892
174	2.038314484
175	2.03223745
176	2.02585334
177	2.019656395
178	2.01323558
179	2.008304537
180	2.002131859
181	1.996140889
182	1.990014004
183	1.984053941
184	1.979435484
185	1.973876678
186	1.967996516
187	1.96141696
188	1.954993267
189	1.949006844
190	1.943455442
191	1.937201669
192	1.930929902
193	1.924503515
194	1.918202286
195	1.912286754
196	1.905993782
197	1.900934819
198	1.895562749
199	1.889545327
200	1.883531046
201	1.877741816
202	1.87144036
203	1.865623018
204	1.85959655
205	1.853444524
206	1.847602416
207	1.841625212
208	1.836317858
209	1.830321313
210	1.824481441
211	1.818774073
212	1.812748512
213	1.806714375
214	1.801138968
215	1.795261845
216	1.789619348
217	1.783720902
218	1.777641015
219	1.771811453
220	1.766075483
221	1.76016497
222	1.754190596
223	1.748659063
224	1.742911526
225	1.737034843
226	1.731179236
227	1.725274987
228	1.719496435
229	1.713644356
230	1.708329395
231	1.702468393
232	1.696672313
233	1.690922778
234	1.68523373
235	1.679708178
236	1.673962369
237	1.668126114
238	1.662561772
239	1.65725355
240	1.651388303
241	1.645828714
242	1.640290034
243	1.634517808
244	1.628928688
245	1.623208278
246	1.617722797
247	1.612305081
248	1.606603736
249	1.601100834
250	1.595399196
251	1.590052787
252	1.584720002
253	1.579387827
254	1.574075266
255	1.568731399
256	1.563301663
257	1.557835968
258	1.552530616
259	1.547069046
260	1.541629618
261	1.536626726
262	1.53140587
263	1.526221019
264	1.520901938
265	1.515927163
266	1.510695242
267	1.50551508
268	1.500485425
269	1.495221824
270	1.489916165
271	1.484640892
272	1.479468047
273	1.474372295
274	1.469641204
275	1.46449396
276	1.459211294
277	1.454183726
278	1.44909329
279	1.444011593
280	1.439067228
281	1.433955623
282	1.428872842
283	1.423977427
284	1.419052793
285	1.414209253
286	1.409194996
287	1.404358217
288	1.39957808
289	1.394733721
290	1.389831356
291	1.385291338
292	1.380313173
293	1.37553143
294	1.370763293
295	1.36603307
296	1.361174025
297	1.356340858
298	1.351694101
299	1.34696501
300	1.342320633
301	1.337716702
302	1.332902819
303	1.328188913
304	1.323635911
305	1.31904591
306	1.31459559
307	1.309932821
308	1.305404338
309	1.300914399
310	1.296458641
311	1.291731103
312	1.287170976
313	1.282538968
314	1.278154707
315	1.273685121
316	1.269316729
317	1.264874995
318	1.260448536
319	1.256086886
320	1.251750871
321	1.247524264
322	1.243270737
323	1.238968153
324	1.234598524
325	1.230352341
326	1.226151019
327	1.221869782
328	1.217677147
329	1.213404872
330	1.209261989
331	1.20510594
332	1.200916943
333	1.19677391
334	1.192688419
335	1.188516149
336	1.184480109
337	1.180493517
338	1.176355011
339	1.172201502
340	1.168097722
341	1.164191847
342	1.160309765
343	1.156273022
344	1.152239014
345	1.148398606
346	1.144380293
347	1.140376872
348	1.136505137
349	1.13265594
350	1.128663802
351	1.124831478
352	1.121057896
353	1.117478652
354	1.113811571
355	1.110049388
356	1.106095114
357	1.102228193
358	1.0984227
359	1.09472291
360	1.090958483
361	1.087398983
362	1.083706055
363	1.079961903
364	1.076236806
365	1.072688644
366	1.068978087
367	1.065307623
368	1.061592641
369	1.057897661
370	1.054382646
371	1.050788085
372	1.047260507
373	1.043700319
374	1.040144078
375	1.036570317
376	1.033080167
377	1.029591676
378	1.026237982
379	1.022667941
380	1.019309325
