iter	Passed	Remaining
405	7806	11420
406	7826	11402
407	7847	11387
408	7869	11371
409	7891	11356
410	7912	11339
411	7934	11323
412	7956	11308
413	7977	11291
414	8000	11277
415	8022	11261
416	8039	11240
417	8057	11218
418	8075	11197
419	8093	11177
420	8112	11157
421	8134	11140
422	8157	11126
423	8177	11109
424	8198	11092
425	8220	11076
426	8241	11059
427	8263	11043
428	8283	11025
429	8304	11008
430	8327	10994
431	8346	10974
432	8364	10953
433	8386	10937
434	8409	10922
435	8429	10904
436	8451	10888
437	8472	10870
438	8493	10853
439	8514	10836
440	8535	10819
441	8558	10804
442	8579	10787
443	8600	10769
444	8624	10756
445	8644	10737
446	8665	10720
447	8689	10706
448	8708	10686
449	8731	10671
450	8751	10653
451	8773	10636
452	8794	10619
453	8813	10600
454	8838	10586
455	8859	10569
456	8880	10552
457	8904	10537
458	8925	10520
459	8945	10500
460	8969	10487
461	8988	10467
462	9010	10450
463	9032	10434
464	9051	10413
465	9069	10393
466	9089	10374
467	9117	10363
468	9145	10354
469	9168	10338
470	9188	10320
471	9210	10303
472	9237	10292
473	9257	10272
474	9280	10257
475	9303	10242
476	9322	10221
477	9343	10203
478	9365	10186
479	9384	10166
480	9403	10146
481	9423	10127
482	9448	10113
483	9470	10096
484	9494	10082
485	9515	10064
486	9535	10044
487	9556	10026
488	9578	10009
489	9599	9991
490	9618	9971
491	9638	9952
492	9662	9936
493	9683	9918
494	9708	9904
495	9729	9885
496	9769	9887
497	9800	9879
498	9830	9869
499	9857	9857
500	9885	9846
501	9913	9834
502	9942	9823
503	9972	9814
504	10004	9806
505	10034	9796
506	10062	9784
507	10084	9766
508	10110	9753
509	10135	9737
510	10158	9721
511	10185	9708
512	10214	9696
513	10244	9686
514	10269	9671
515	10295	9657
516	10326	9647
517	10361	9641
518	10393	9632
519	10427	9624
520	10456	9613
521	10480	9596
522	10503	9579
523	10525	9561
524	10551	9546
525	10569	9524
526	10587	9502
527	10604	9479
528	10622	9457
529	10639	9435
530	10659	9414
531	10677	9393
532	10695	9371
533	10714	9349
